cohort,phenotype,gene,annot,max_maf,p_value,p_value_burden,p_value_skat,beta_burden,se_burden,mac,mac_case,mac_control,rare_var_count,ultrarare_var_count,analysis_type
AFR_F,LDL_median,ENSG00000068654,pLoF,0.0001,7.39465496979833e-06,7.39465496979833e-06,7.39465496979833e-06,3.29940907008564,0.736146510048592,3.0,,,0.0,3.0,regions
AFR_F,LDL_median,ENSG00000068654,pLoF,0.001,7.39465496979833e-06,7.39465496979833e-06,7.39465496979833e-06,3.29940907008564,0.736146510048592,3.0,,,0.0,3.0,regions
AFR_F,LDL_median,ENSG00000068654,pLoF,0.01,7.39465496979833e-06,7.39465496979833e-06,7.39465496979833e-06,3.29940907008564,0.736146510048592,3.0,,,0.0,3.0,regions
AFR_F,BMI_median,ENSG00000068912,pLoF,0.0001,3.59544469449858e-07,3.59544469449858e-07,3.59544469449858e-07,1.72813102037509,0.339567152820404,1.0,,,0.0,1.0,regions
AFR_F,BMI_median,ENSG00000068912,pLoF,0.001,3.59544469449858e-07,3.59544469449858e-07,3.59544469449858e-07,1.72813102037509,0.339567152820404,1.0,,,0.0,1.0,regions
AFR_F,BMI_median,ENSG00000068912,pLoF,0.01,3.59544469449858e-07,3.59544469449858e-07,3.59544469449858e-07,1.72813102037509,0.339567152820404,1.0,,,0.0,1.0,regions
AFR_F,LDL_median,ENSG00000075399,pLoF;damaging_missense,0.0001,7.86788393589437e-08,7.86788393589437e-08,7.86788393589437e-08,2.1060835581847,0.392184658767599,11.0,,,0.0,11.0,regions
AFR_ALL,LDL_median,ENSG00000075399,pLoF;damaging_missense,0.0001,8.16026457397307e-08,8.16026457397307e-08,8.16026457397307e-08,2.09933612015924,0.391408048094366,11.0,,,0.0,11.0,regions
AFR_ALL,LDL_median,ENSG00000075399,pLoF,0.01,7.80758859568287e-06,7.80758859568287e-06,7.80758859568287e-06,2.35105730251205,0.525917328070432,6.0,,,0.0,6.0,regions
AFR_ALL,LDL_median,ENSG00000075399,pLoF,0.001,7.80758859568287e-06,7.80758859568287e-06,7.80758859568287e-06,2.35105730251205,0.525917328070432,6.0,,,0.0,6.0,regions
AFR_F,LDL_median,ENSG00000075399,pLoF,0.0001,4.80904184318644e-06,4.80904184318644e-06,4.80904184318644e-06,2.3996026465681,0.52473840218195,6.0,,,0.0,6.0,regions
AFR_ALL,LDL_median,ENSG00000075399,pLoF,0.0001,7.80758859568287e-06,7.80758859568287e-06,7.80758859568287e-06,2.35105730251205,0.525917328070432,6.0,,,0.0,6.0,regions
AFR_F,LDL_median,ENSG00000075399,pLoF;damaging_missense,0.01,9.21928890651988e-06,9.21928890651988e-06,9.21928890651988e-06,1.31914105266594,0.297457708396617,20.0,,,0.0,14.0,regions
AFR_F,LDL_median,ENSG00000075399,pLoF;damaging_missense,0.001,9.21928890651988e-06,9.21928890651988e-06,9.21928890651988e-06,1.31914105266594,0.297457708396617,20.0,,,0.0,14.0,regions
AFR_F,LDL_median,ENSG00000075399,pLoF,0.001,4.80904184318644e-06,4.80904184318644e-06,4.80904184318644e-06,2.3996026465681,0.52473840218195,6.0,,,0.0,6.0,regions
AFR_F,LDL_median,ENSG00000075399,pLoF,0.01,4.80904184318644e-06,4.80904184318644e-06,4.80904184318644e-06,2.3996026465681,0.52473840218195,6.0,,,0.0,6.0,regions
AFR_M,BMI_median,ENSG00000078140,synonymous,0.001,1.03069873485228e-06,1.03069873485228e-06,1.03069873485228e-06,1.00365146693138,0.205426970209628,2.0,,,0.0,2.0,regions
AFR_M,BMI_median,ENSG00000078140,synonymous,0.01,1.03069873485228e-06,1.03069873485228e-06,1.03069873485228e-06,1.00365146693138,0.205426970209628,2.0,,,0.0,2.0,regions
EUR_ALL,BMI_median,ENSG00000078699,pLoF,0.01,7.88564368539946e-06,7.88564368539946e-06,7.88564368539946e-06,1.10677511981257,0.247696818367984,1.0,,,0.0,1.0,regions
EUR_ALL,BMI_median,ENSG00000078699,pLoF,0.001,7.88564368539946e-06,7.88564368539946e-06,7.88564368539946e-06,1.10677511981257,0.247696818367984,1.0,,,0.0,1.0,regions
EUR_ALL,BMI_median,ENSG00000078699,pLoF,0.0001,7.88564368539946e-06,7.88564368539946e-06,7.88564368539946e-06,1.10677511981257,0.247696818367984,1.0,,,0.0,1.0,regions
EUR_ALL,BMI_median,ENSG00000078900,pLoF;damaging_missense;other_missense;synonymous,0.01,9.43220387206178e-06,0.0390817111541693,4.15372895035127e-06,0.0169956259156464,0.0082370066017544,1310.0,,,19.0,228.0,regions
EUR_ALL,BMI_median,ENSG00000078900,synonymous,0.0001,8.925659154116e-06,8.925659154116e-06,8.925659154116e-06,0.104083714103222,0.023433377645138,125.0,,,0.0,68.0,regions
EUR_ALL,BMI_median,ENSG00000078900,pLoF;damaging_missense;other_missense;synonymous,0.001,5.83269448239943e-06,0.0003880189157501,4.42050255622384e-06,0.0403172377903379,0.0113630457707809,797.0,,,15.0,228.0,regions
EUR_F,BMI_median,ENSG00000078900,synonymous,0.0001,6.46495189415872e-06,6.46495189415872e-06,6.46495189415872e-06,0.188637011078202,0.0418209766604564,49.0,,,0.0,38.0,regions
EUR_M,LDL_median,ENSG00000080709,damaging_missense,0.01,4.52565772170865e-07,4.52565772170865e-07,4.52565772170865e-07,4.47580071666889,0.887104650135348,2.0,,,0.0,2.0,regions
EUR_M,LDL_median,ENSG00000080709,damaging_missense,0.001,4.52565772170865e-07,4.52565772170865e-07,4.52565772170865e-07,4.47580071666889,0.887104650135348,2.0,,,0.0,2.0,regions
EUR_M,LDL_median,ENSG00000080709,damaging_missense,0.0001,4.52565772170865e-07,4.52565772170865e-07,4.52565772170865e-07,4.47580071666889,0.887104650135348,2.0,,,0.0,2.0,regions
AFR_ALL,LDL_median,ENSG00000081791,synonymous,0.0001,4.10966120186201e-06,4.10966120186201e-06,4.10966120186201e-06,2.42125828331641,0.525702455138432,6.0,,,0.0,6.0,regions
AFR_ALL,LDL_median,ENSG00000081870,damaging_missense,0.0001,9.59306271483213e-06,9.59306271483213e-06,9.59306271483213e-06,3.27520634309643,0.73996761765253,3.0,,,0.0,3.0,regions
AFR_ALL,LDL_median,ENSG00000081870,damaging_missense,0.001,9.59306271483213e-06,9.59306271483213e-06,9.59306271483213e-06,3.27520634309643,0.73996761765253,3.0,,,0.0,3.0,regions
AFR_ALL,LDL_median,ENSG00000081870,pLoF;damaging_missense,0.001,9.59306271483213e-06,9.59306271483213e-06,9.59306271483213e-06,3.27520634309643,0.73996761765253,3.0,,,0.0,3.0,regions
AFR_ALL,LDL_median,ENSG00000081870,pLoF;damaging_missense,0.01,9.59306271483213e-06,9.59306271483213e-06,9.59306271483213e-06,3.27520634309643,0.73996761765253,3.0,,,0.0,3.0,regions
AFR_ALL,LDL_median,ENSG00000081870,pLoF;damaging_missense,0.0001,9.59306271483213e-06,9.59306271483213e-06,9.59306271483213e-06,3.27520634309643,0.73996761765253,3.0,,,0.0,3.0,regions
AFR_ALL,LDL_median,ENSG00000081870,damaging_missense,0.01,9.59306271483213e-06,9.59306271483213e-06,9.59306271483213e-06,3.27520634309643,0.73996761765253,3.0,,,0.0,3.0,regions
AFR_F,LDL_median,ENSG00000082497,pLoF;damaging_missense,0.0001,5.70666007972635e-08,5.70666007972635e-08,5.70666007972635e-08,6.88894044202028,1.26920571434907,1.0,,,0.0,1.0,regions
AFR_ALL,LDL_median,ENSG00000082497,damaging_missense,0.0001,8.92716770977821e-08,8.92716770977821e-08,8.92716770977821e-08,6.83258880996178,1.27776217411979,1.0,,,0.0,1.0,regions
AFR_F,LDL_median,ENSG00000082497,damaging_missense,0.0001,5.70666007972635e-08,5.70666007972635e-08,5.70666007972635e-08,6.88894044202028,1.26920571434907,1.0,,,0.0,1.0,regions
AFR_ALL,LDL_median,ENSG00000082497,pLoF;damaging_missense,0.0001,8.92716770977821e-08,8.92716770977821e-08,8.92716770977821e-08,6.83258880996178,1.27776217411979,1.0,,,0.0,1.0,regions
EUR_ALL,AAA,ENSG00000084110,pLoF;damaging_missense;other_missense;synonymous,0.01,7.57804506390514e-06,2.91402260932383e-06,0.000288405692485,0.0270681905676938,0.0057877728429631,1134.0,98.0,1036.0,17.0,211.0,regions
AFR_ALL,LDL_median,ENSG00000084674,pLoF,0.01,1.38998094087697e-06,1.38998094087697e-06,1.38998094087697e-06,-1.97729012771239,0.409679142808133,10.0,,,0.0,7.0,regions
AFR_ALL,LDL_median,ENSG00000084674,pLoF,0.001,1.38998094087697e-06,1.38998094087697e-06,1.38998094087697e-06,-1.97729012771239,0.409679142808133,10.0,,,0.0,7.0,regions
AFR_F,LDL_median,ENSG00000084674,pLoF,0.001,7.84169918032686e-06,7.84169918032686e-06,7.84169918032686e-06,-2.56148649280189,0.573108603024326,5.0,,,0.0,4.0,regions
EUR_ALL,LDL_median,ENSG00000084674,pLoF,0.0001,3.06040848602981e-08,3.06040848602981e-08,3.06040848602981e-08,-1.55568774206275,0.280914249685266,22.0,,,0.0,19.0,regions
EUR_ALL,LDL_median,ENSG00000084674,pLoF,0.001,3.06040848602981e-08,3.06040848602981e-08,3.06040848602981e-08,-1.55568774206275,0.280914249685266,22.0,,,0.0,19.0,regions
EUR_F,LDL_median,ENSG00000084674,pLoF,0.001,6.5493556012908e-06,6.5493556012908e-06,6.5493556012908e-06,-2.01385401974001,0.446745629574736,9.0,,,0.0,8.0,regions
EUR_F,LDL_median,ENSG00000084674,pLoF,0.01,6.5493556012908e-06,6.5493556012908e-06,6.5493556012908e-06,-2.01385401974001,0.446745629574736,9.0,,,0.0,8.0,regions
AFR_F,LDL_median,ENSG00000084674,pLoF,0.01,7.84169918032686e-06,7.84169918032686e-06,7.84169918032686e-06,-2.56148649280189,0.573108603024326,5.0,,,0.0,4.0,regions
EUR_ALL,LDL_median,ENSG00000084674,pLoF,0.01,3.06040848602981e-08,3.06040848602981e-08,3.06040848602981e-08,-1.55568774206275,0.280914249685266,22.0,,,0.0,19.0,regions
EUR_ALL,LDL_median,ENSG00000085840,pLoF;damaging_missense;other_missense;synonymous,0.001,9.42380970492263e-06,0.0067748859003713,8.89708193374528e-06,-0.191816039407912,0.0708406451476319,435.0,,,8.0,183.0,regions
AFR_F,LDL_median,ENSG00000087074,damaging_missense,0.001,8.22374234927566e-08,8.22374234927566e-08,8.22374234927566e-08,1.87819805900203,0.350269617110956,14.0,,,0.0,9.0,regions
AFR_F,LDL_median,ENSG00000087074,pLoF;damaging_missense,0.001,1.40819563988743e-06,1.40819563988743e-06,1.40819563988743e-06,1.27683443484725,0.264692469699997,26.0,,,0.0,17.0,regions
EUR_F,BMI_median,ENSG00000089199,synonymous,0.001,5.22135923242129e-06,0.0006012784682397,4.9397698078657e-06,0.130025018173579,0.0378967105905173,58.0,,,1.0,29.0,regions
AFR_ALL,LDL_median,ENSG00000089723,damaging_missense,0.0001,2.07490501703436e-06,2.07490501703436e-06,2.07490501703436e-06,6.06648246312958,1.27823370496541,1.0,,,0.0,1.0,regions
AFR_F,LDL_median,ENSG00000089723,damaging_missense,0.0001,1.06802953494513e-06,1.06802953494513e-06,1.06802953494513e-06,6.19602726914688,1.27002354848849,1.0,,,0.0,1.0,regions
EUR_M,LDL_median,ENSG00000090054,synonymous,0.0001,1.8726254185960903e-09,1.8726254185960903e-09,1.8726254185960903e-09,4.3581199882488,0.725327346807865,3.0,,,0.0,3.0,regions
AFR_F,LDL_median,ENSG00000090376,pLoF,0.01,5.93178597302641e-10,5.93178597302641e-10,5.93178597302641e-10,3.96238967796071,0.639896757453174,4.0,,,0.0,3.0,regions
AFR_F,LDL_median,ENSG00000090376,pLoF,0.001,5.93178597302641e-10,5.93178597302641e-10,5.93178597302641e-10,3.96238967796071,0.639896757453174,4.0,,,0.0,3.0,regions
AFR_F,BMI_median,ENSG00000090554,pLoF;damaging_missense,0.0001,6.32743859004929e-06,6.32743859004929e-06,6.32743859004929e-06,1.08589960824139,0.24050176815694,2.0,,,0.0,2.0,regions
AFR_F,BMI_median,ENSG00000090554,pLoF,0.0001,9.89898941132309e-06,9.89898941132309e-06,9.89898941132309e-06,1.50038023659492,0.339501074948037,1.0,,,0.0,1.0,regions
AFR_ALL,LDL_median,ENSG00000092531,pLoF;damaging_missense,0.001,1.0523641481593901e-14,1.0523641481593901e-14,1.0523641481593901e-14,6.9980664232807,0.904989027205872,2.0,,,0.0,2.0,regions
AFR_ALL,LDL_median,ENSG00000092531,pLoF;damaging_missense,0.01,1.0523641481593901e-14,1.0523641481593901e-14,1.0523641481593901e-14,6.9980664232807,0.904989027205872,2.0,,,0.0,2.0,regions
AFR_ALL,LDL_median,ENSG00000092531,pLoF;damaging_missense,0.0001,1.0523641481593901e-14,1.0523641481593901e-14,1.0523641481593901e-14,6.9980664232807,0.904989027205872,2.0,,,0.0,2.0,regions
AFR_ALL,LDL_median,ENSG00000092531,damaging_missense,0.01,1.0523641481593901e-14,1.0523641481593901e-14,1.0523641481593901e-14,6.9980664232807,0.904989027205872,2.0,,,0.0,2.0,regions
AFR_ALL,LDL_median,ENSG00000092531,damaging_missense,0.0001,1.0523641481593901e-14,1.0523641481593901e-14,1.0523641481593901e-14,6.9980664232807,0.904989027205872,2.0,,,0.0,2.0,regions
AFR_F,LDL_median,ENSG00000092531,pLoF;damaging_missense,0.01,7.27188721124651e-15,7.27188721124651e-15,7.27188721124651e-15,6.99960496667658,0.899731304158597,2.0,,,0.0,2.0,regions
AFR_F,LDL_median,ENSG00000092531,pLoF;damaging_missense,0.001,7.27188721124651e-15,7.27188721124651e-15,7.27188721124651e-15,6.99960496667658,0.899731304158597,2.0,,,0.0,2.0,regions
AFR_F,LDL_median,ENSG00000092531,pLoF;damaging_missense,0.0001,7.27188721124651e-15,7.27188721124651e-15,7.27188721124651e-15,6.99960496667658,0.899731304158597,2.0,,,0.0,2.0,regions
AFR_F,LDL_median,ENSG00000092531,damaging_missense,0.01,7.27188721124651e-15,7.27188721124651e-15,7.27188721124651e-15,6.99960496667658,0.899731304158597,2.0,,,0.0,2.0,regions
AFR_F,LDL_median,ENSG00000092531,damaging_missense,0.001,7.27188721124651e-15,7.27188721124651e-15,7.27188721124651e-15,6.99960496667658,0.899731304158597,2.0,,,0.0,2.0,regions
AFR_F,LDL_median,ENSG00000092531,damaging_missense,0.0001,7.27188721124651e-15,7.27188721124651e-15,7.27188721124651e-15,6.99960496667658,0.899731304158597,2.0,,,0.0,2.0,regions
AFR_ALL,LDL_median,ENSG00000092531,damaging_missense,0.001,1.0523641481593901e-14,1.0523641481593901e-14,1.0523641481593901e-14,6.9980664232807,0.904989027205872,2.0,,,0.0,2.0,regions
EUR_ALL,LDL_median,ENSG00000099977,other_missense,0.0001,4.23889396720597e-06,4.23889396720597e-06,4.23889396720597e-06,2.99042779033328,0.650190303824491,4.0,,,0.0,4.0,regions
EUR_M,BMI_median,ENSG00000099985,other_missense,0.01,2.3003470566163e-06,3.18641192187386e-06,3.24720769758757e-05,0.0839562790167454,0.0180224685184362,152.0,,,5.0,40.0,regions
EUR_M,BMI_median,ENSG00000099985,other_missense,0.001,2.3003470566163e-06,3.18641192187386e-06,3.24720769758757e-05,0.0839562790167454,0.0180224685184362,152.0,,,5.0,40.0,regions
EUR_M,BMI_median,ENSG00000099985,other_missense,0.0001,7.88909242305042e-06,7.88909242305042e-06,7.88909242305042e-06,0.134725558167585,0.0301522777564854,54.0,,,0.0,36.0,regions
EUR_F,LDL_median,ENSG00000100014,damaging_missense,0.0001,4.18345186840314e-06,4.18345186840314e-06,4.18345186840314e-06,3.52722156820655,0.766445103417893,3.0,,,0.0,3.0,regions
AFR_ALL,LDL_median,ENSG00000100319,pLoF;damaging_missense,0.0001,4.368759881350611e-15,4.368759881350611e-15,4.368759881350611e-15,7.09685119626206,0.904764219227275,2.0,,,0.0,2.0,regions
AFR_F,LDL_median,ENSG00000100319,pLoF;damaging_missense,0.01,1.70426753462087e-06,1.70426753462087e-06,1.70426753462087e-06,2.32957294651154,0.486782006148741,7.0,,,0.0,4.0,regions
AFR_F,LDL_median,ENSG00000100319,pLoF;damaging_missense,0.0001,3.79655536226615e-18,3.79655536226615e-18,3.79655536226615e-18,7.81536023737203,0.899897129969054,2.0,,,0.0,2.0,regions
AFR_F,LDL_median,ENSG00000100319,pLoF,0.01,2.03308607610966e-06,2.03308607610966e-06,2.03308607610966e-06,2.49124360278453,0.524460475296914,6.0,,,0.0,3.0,regions
AFR_F,LDL_median,ENSG00000100319,pLoF;damaging_missense,0.001,1.70426753462087e-06,1.70426753462087e-06,1.70426753462087e-06,2.32957294651154,0.486782006148741,7.0,,,0.0,4.0,regions
AFR_F,LDL_median,ENSG00000100319,pLoF,0.0001,2.11451123665968e-29,2.11451123665968e-29,2.11451123665968e-29,14.2940240678712,1.26967453518695,1.0,,,0.0,1.0,regions
AFR_ALL,LDL_median,ENSG00000100319,pLoF,0.0001,4.368759881350611e-15,4.368759881350611e-15,4.368759881350611e-15,7.09685119626206,0.904764219227275,2.0,,,0.0,2.0,regions
AFR_F,LDL_median,ENSG00000100319,pLoF,0.001,2.03308607610966e-06,2.03308607610966e-06,2.03308607610966e-06,2.49124360278453,0.524460475296914,6.0,,,0.0,3.0,regions
AFR_ALL,LDL_median,ENSG00000100354,synonymous,0.01,4.84841266512603e-06,2.13900859447058e-06,0.0002515771054482,0.33652472758334,0.0709993705529352,408.0,,,7.0,62.0,regions
EUR_M,BMI_median,ENSG00000100526,damaging_missense,0.0001,7.81753080295074e-06,7.81753080295074e-06,7.81753080295074e-06,0.366830426680322,0.0820627485337069,7.0,,,0.0,5.0,regions
AFR_M,BMI_median,ENSG00000100749,pLoF;damaging_missense,0.01,4.40257649036594e-10,4.40257649036594e-10,4.40257649036594e-10,1.80814690235275,0.289811606540492,1.0,,,0.0,1.0,regions
AFR_M,BMI_median,ENSG00000100749,pLoF;damaging_missense,0.001,4.40257649036594e-10,4.40257649036594e-10,4.40257649036594e-10,1.80814690235275,0.289811606540492,1.0,,,0.0,1.0,regions
AFR_M,BMI_median,ENSG00000100749,damaging_missense,0.001,4.40257649036594e-10,4.40257649036594e-10,4.40257649036594e-10,1.80814690235275,0.289811606540492,1.0,,,0.0,1.0,regions
AFR_M,BMI_median,ENSG00000100749,damaging_missense,0.01,4.40257649036594e-10,4.40257649036594e-10,4.40257649036594e-10,1.80814690235275,0.289811606540492,1.0,,,0.0,1.0,regions
AFR_M,LDL_median,ENSG00000101138,other_missense,0.01,5.36601466782916e-06,0.188609253641677,2.5133975101177e-06,0.374775074771273,0.285064127899218,25.0,,,1.0,10.0,regions
EUR_ALL,LDL_median,ENSG00000101200,pLoF,0.001,2.30078615936737e-06,2.30078615936737e-06,2.30078615936737e-06,6.12892123998217,1.29711728072778,1.0,,,0.0,1.0,regions
EUR_ALL,LDL_median,ENSG00000101200,pLoF,0.0001,2.30078615936737e-06,2.30078615936737e-06,2.30078615936737e-06,6.12892123998217,1.29711728072778,1.0,,,0.0,1.0,regions
EUR_ALL,LDL_median,ENSG00000101200,pLoF,0.01,2.30078615936737e-06,2.30078615936737e-06,2.30078615936737e-06,6.12892123998217,1.29711728072778,1.0,,,0.0,1.0,regions
EUR_F,LDL_median,ENSG00000101200,pLoF,0.01,6.2902515080565e-06,6.2902515080565e-06,6.2902515080565e-06,5.971281682692,1.322135721929,1.0,,,0.0,1.0,regions
EUR_F,LDL_median,ENSG00000101200,pLoF,0.001,6.2902515080565e-06,6.2902515080565e-06,6.2902515080565e-06,5.971281682692,1.322135721929,1.0,,,0.0,1.0,regions
EUR_F,LDL_median,ENSG00000101200,pLoF,0.0001,6.2902515080565e-06,6.2902515080565e-06,6.2902515080565e-06,5.971281682692,1.322135721929,1.0,,,0.0,1.0,regions
EUR_F,BMI_median,ENSG00000102471,pLoF,0.0001,7.8072041463063e-07,7.8072041463063e-07,7.8072041463063e-07,0.975783387490825,0.197521957200767,2.0,,,0.0,2.0,regions
EUR_F,BMI_median,ENSG00000102471,pLoF,0.001,7.8072041463063e-07,7.8072041463063e-07,7.8072041463063e-07,0.975783387490825,0.197521957200767,2.0,,,0.0,2.0,regions
EUR_F,BMI_median,ENSG00000102471,pLoF,0.01,7.8072041463063e-07,7.8072041463063e-07,7.8072041463063e-07,0.975783387490825,0.197521957200767,2.0,,,0.0,2.0,regions
AFR_M,T2D,ENSG00000103043,other_missense,0.01,1.1354338095293e-06,5.70037401603773e-06,1.25914842474817e-06,0.0518166328747221,0.0114203772587898,77.0,51.0,26.0,1.0,39.0,regions
EUR_ALL,BMI_median,ENSG00000103353,pLoF,0.0001,5.7324467030589e-06,5.7324467030589e-06,5.7324467030589e-06,1.12409229834902,0.247814412498131,1.0,,,0.0,1.0,regions
EUR_ALL,BMI_median,ENSG00000103353,pLoF,0.01,5.7324467030589e-06,5.7324467030589e-06,5.7324467030589e-06,1.12409229834902,0.247814412498131,1.0,,,0.0,1.0,regions
EUR_ALL,BMI_median,ENSG00000103353,pLoF,0.001,5.7324467030589e-06,5.7324467030589e-06,5.7324467030589e-06,1.12409229834902,0.247814412498131,1.0,,,0.0,1.0,regions
AFR_M,BMI_median,ENSG00000103365,pLoF,0.01,6.06384417122364e-08,6.06384417122364e-08,6.06384417122364e-08,1.56844914063504,0.289546928285048,1.0,,,0.0,1.0,regions
AFR_M,BMI_median,ENSG00000103365,pLoF,0.001,6.06384417122364e-08,6.06384417122364e-08,6.06384417122364e-08,1.56844914063504,0.289546928285048,1.0,,,0.0,1.0,regions
AFR_F,BMI_median,ENSG00000103460,pLoF;damaging_missense,0.0001,4.73181497894334e-06,4.73181497894334e-06,4.73181497894334e-06,1.55351794643331,0.339467342243714,1.0,,,0.0,1.0,regions
AFR_F,BMI_median,ENSG00000103460,damaging_missense,0.0001,4.73181497894334e-06,4.73181497894334e-06,4.73181497894334e-06,1.55351794643331,0.339467342243714,1.0,,,0.0,1.0,regions
EUR_F,BMI_median,ENSG00000104427,synonymous,0.0001,5.66415566709004e-06,5.66415566709004e-06,5.66415566709004e-06,0.369595853129602,0.0814347330458335,12.0,,,0.0,7.0,regions
EUR_F,LDL_median,ENSG00000104918,synonymous,0.0001,6.2902515080565e-06,6.2902515080565e-06,6.2902515080565e-06,5.971281682692,1.322135721929,1.0,,,0.0,1.0,regions
